,BTC,ETH,USDT,USDC,BNB,XRP,BUSD,DOGE,ADA,MATIC,timestamp,ValueCategory
99,320500.0,147740.0,66240.0,44520.0,39200.0,17350.0,16470.0,9280.0,8680.0,6760.0,2023-01-03 19:00:07.424440,Market Cap in M$
100,16858.15,1228.32,1.02,1.0,250.14,0.349,1.0,0.07088,0.2543,0.7899,2023-01-03 19:30:04.868669,Price in $
101,13780.0,3390.0,17950.0,1980.0,386.0,859.0,3970.0,300.0,155.0,172.0,2023-01-03 19:30:04.874704,24h Volume in M$
102,-0.52,-0.76,0.11,0.02,-0.35,-1.74,0.0,-2.89,-1.64,-1.02,2023-01-03 19:30:04.880127,24h Change in %
103,320210.0,147720.0,66230.0,44530.0,39210.0,17390.0,16470.0,9270.0,8640.0,6760.0,2023-01-03 19:30:04.885894,Market Cap in M$
104,16878.17,1231.2,1.02,1.0,250.41,0.3502,1.0,0.07097,0.2545,0.7916,2023-01-03 20:00:06.405633,Price in $
105,13870.0,3420.0,18060.0,1970.0,386.0,853.0,4000.0,301.0,156.0,174.0,2023-01-03 20:00:06.411820,24h Volume in M$
106,-0.47,-0.59,0.13,-0.0,-0.33,-1.59,0.01,-2.9,-1.66,-1.01,2023-01-03 20:00:06.417395,24h Change in %
107,320610.0,148050.0,66230.0,44520.0,39250.0,17460.0,16470.0,9280.0,8660.0,6770.0,2023-01-03 20:00:06.423452,Market Cap in M$
108,16887.66,1232.26,1.02,1.0,250.47,0.3511,1.0,0.07108,0.2548,0.7912,2023-01-03 20:30:03.964314,Price in $
109,14030.0,3450.0,18230.0,1980.0,385.0,853.0,4050.0,302.0,156.0,174.0,2023-01-03 20:30:03.970276,24h Volume in M$
110,-0.38,-0.47,0.1,-0.05,-0.57,-2.03,0.03,-2.84,-1.29,-0.94,2023-01-03 20:30:03.975585,24h Change in %
111,320680.0,148130.0,66240.0,44160.0,39240.0,17480.0,16470.0,9280.0,8660.0,6770.0,2023-01-03 20:30:03.981214,Market Cap in M$
112,16884.54,1231.42,1.02,1.0,250.47,0.3506,1.0,0.07107,0.2549,0.7907,2023-01-03 21:00:07.014478,Price in $
113,14120.0,3480.0,18370.0,2000.0,385.0,848.0,4100.0,303.0,156.0,176.0,2023-01-03 21:00:07.020516,24h Volume in M$
114,-0.41,-0.57,0.07,-0.03,-0.66,-2.17,-0.0,-2.8,-1.23,-1.15,2023-01-03 21:00:07.025914,24h Change in %
115,320700.0,148120.0,66240.0,44160.0,39250.0,17470.0,16470.0,9300.0,8670.0,6770.0,2023-01-03 21:00:07.031748,Market Cap in M$
116,16896.85,1233.08,1.02,1.0,250.64,0.3499,1.0,0.07115,0.2554,0.7915,2023-01-03 21:30:03.239132,Price in $
117,14180.0,3490.0,18450.0,2009.0,384.0,844.0,4120.0,303.0,155.0,175.0,2023-01-03 21:30:03.245191,24h Volume in M$
118,-0.34,-0.51,0.09,-0.06,-0.61,-2.32,0.0,-2.62,-1.26,-1.17,2023-01-03 21:30:03.250622,24h Change in %
119,320890.0,148270.0,66250.0,44150.0,39280.0,17440.0,16470.0,9310.0,8680.0,6770.0,2023-01-03 21:30:03.256354,Market Cap in M$
120,16891.09,1232.07,1.02,1.0,250.73,0.3501,1.0,0.07107,0.2554,0.7916,2023-01-03 22:00:07.291641,Price in $
121,14300.0,3540.0,18600.0,2020.0,384.0,844.0,4140.0,304.0,155.0,176.0,2023-01-03 22:00:07.297746,24h Volume in M$
122,-0.39,-0.56,0.09,-0.1,-0.49,-2.33,0.04,-2.99,-1.41,-1.34,2023-01-03 22:00:07.303284,24h Change in %
123,320940.0,148170.0,66240.0,44140.0,39300.0,17460.0,16470.0,9300.0,8680.0,6780.0,2023-01-03 22:00:07.309090,Market Cap in M$
124,16786.21,1232.0,1.02,1.0,249.08,0.3481,1.0,0.07091,0.2547,0.7864,2023-01-03 22:30:04.149833,Price in $
125,14140.0,3470.0,18460.0,2009.0,383.0,836.0,4080.0,302.0,154.0,174.0,2023-01-03 22:30:04.155933,24h Volume in M$
126,-0.48,-0.51,0.07,-0.08,-0.46,-2.48,0.0,-3.27,-1.79,-1.48,2023-01-03 22:30:04.161412,24h Change in %
127,320720.0,148130.0,66240.0,44130.0,39270.0,17360.0,16390.0,9270.0,8660.0,6770.0,2023-01-03 22:30:04.167171,Market Cap in M$
128,16791.84,1225.66,1.02,1.0,249.23,0.3486,1.0,0.07103,0.255,0.7873,2023-01-03 23:00:03.631515,Price in $
129,14090.0,3470.0,18430.0,2000.0,382.0,827.0,4070.0,303.0,154.0,174.0,2023-01-03 23:00:03.637973,24h Volume in M$
130,-0.19,-0.16,0.06,-0.1,-0.19,-1.24,-0.02,-2.7,-0.98,-0.58,2023-01-03 23:00:03.643656,24h Change in %
131,320870.0,148270.0,66240.0,44120.0,39300.0,17390.0,16390.0,9280.0,8670.0,6780.0,2023-01-03 23:00:03.649684,Market Cap in M$
132,16803.76,1235.41,1.02,1.0,249.52,0.3492,1.0,0.07138,0.2562,0.7908,2023-01-03 23:30:04.764347,Price in $
133,13980.0,3420.0,18300.0,2009.0,379.0,816.0,4019.0,285.0,152.0,171.0,2023-01-03 23:30:04.770509,24h Volume in M$
134,-0.16,0.02,0.08,-0.09,0.1,-1.14,0.03,-1.72,-0.66,-0.45,2023-01-03 23:30:04.776014,24h Change in %
135,321080.0,148580.0,66240.0,44120.0,39340.0,17400.0,16390.0,9320.0,8700.0,6800.0,2023-01-03 23:30:04.781711,Market Cap in M$
136,16800.16,1235.52,1.02,1.0,249.66,0.3486,1.0,0.07156,0.2567,0.7918,2023-01-04 00:00:03.828711,Price in $
137,13970.0,3410.0,18290.0,2009.0,378.0,814.0,4019.0,284.0,153.0,172.0,2023-01-04 00:00:03.834946,24h Volume in M$
138,-0.05,0.09,0.08,-0.08,0.39,-1.31,0.01,-1.14,-0.19,-0.02,2023-01-04 00:00:03.840607,24h Change in %
139,321010.0,148600.0,66240.0,44120.0,39370.0,17370.0,16390.0,9360.0,8730.0,6820.0,2023-01-04 00:00:03.846548,Market Cap in M$
140,16801.58,1235.73,1.02,1.0,251.02,0.3483,1.0,0.07167,0.2566,0.7914,2023-01-04 00:30:04.912820,Price in $
141,13770.0,3370.0,18150.0,2009.0,375.0,805.0,3980.0,281.0,154.0,169.0,2023-01-04 00:30:04.918829,24h Volume in M$
142,0.0,0.04,0.08,-0.04,0.17,-0.87,0.08,-1.3,-0.42,-0.09,2023-01-04 00:30:04.924240,24h Change in %
143,321090.0,148580.0,66250.0,44160.0,39330.0,17330.0,16390.0,9350.0,8710.0,6800.0,2023-01-04 00:30:04.929918,Market Cap in M$
144,16788.93,1234.39,1.02,1.0,250.81,0.3478,1.0,0.07135,0.2561,0.7906,2023-01-04 01:00:06.850458,Price in $
145,13790.0,3370.0,18230.0,2009.0,375.0,804.0,3980.0,283.0,157.0,171.0,2023-01-04 01:00:06.856784,24h Volume in M$
146,-0.09,-0.04,0.16,-0.02,0.12,-0.83,0.1,-1.8,-0.6,-0.29,2023-01-04 01:00:06.862409,24h Change in %
147,320960.0,148590.0,66300.0,44170.0,39350.0,17350.0,16400.0,9340.0,8710.0,6810.0,2023-01-04 01:00:06.868203,Market Cap in M$
148,16837.48,1246.5,1.02,1.0,251.65,0.3511,1.0,0.07228,0.258,0.7971,2023-01-04 01:30:04.295273,Price in $
149,13920.0,3500.0,18500.0,2040.0,380.0,799.0,4030.0,289.0,161.0,175.0,2023-01-04 01:30:04.301451,24h Volume in M$
150,0.34,1.12,0.06,-0.03,0.7,0.61,0.07,0.02,0.79,0.93,2023-01-04 01:30:04.307075,24h Change in %
151,321700.0,149900.0,66250.0,44160.0,39450.0,17500.0,16390.0,9440.0,8770.0,6860.0,2023-01-04 01:30:04.313002,Market Cap in M$
152,16828.17,1244.43,1.02,1.0,251.33,0.3511,1.0,0.07229,0.2585,0.8004,2023-01-04 02:00:05.793027,Price in $
