,time,crypto,pos,neg,neu,count
277,2023-01-04 21:30:09.627670,Dogecoin,33,6,61,100
278,2023-01-04 21:30:09.673495,Cardano,54,10,36,100
279,2023-01-04 21:30:09.725650,Polygon,45,15,40,100
280,2023-01-04 22:00:11.537923,Bitcoin,60,13,27,100
281,2023-01-04 22:00:11.577707,Ethereum,61,6,33,100
282,2023-01-04 22:00:11.616831,Tether,3,2,95,100
283,2023-01-04 22:00:11.672005,USD Coin,39,13,48,100
284,2023-01-04 22:00:11.721857,BNB,29,10,61,100
285,2023-01-04 22:00:11.761918,XRP,31,14,55,100
286,2023-01-04 22:00:11.808563,Binance USD,44,32,24,100
287,2023-01-04 22:00:11.851633,Dogecoin,41,3,56,100
288,2023-01-04 22:00:11.896365,Cardano,55,22,23,100
289,2023-01-04 22:00:11.945198,Polygon,48,19,33,100
290,2023-01-04 23:00:11.655885,Bitcoin,53,19,28,100
291,2023-01-04 23:00:11.697374,Ethereum,39,10,51,100
292,2023-01-04 23:00:11.736580,Tether,4,1,95,100
293,2023-01-04 23:00:11.792388,USD Coin,39,17,44,100
294,2023-01-04 23:00:11.844747,BNB,58,8,34,100
295,2023-01-04 23:00:11.884555,XRP,44,10,46,100
296,2023-01-04 23:00:11.931108,Binance USD,31,40,29,100
297,2023-01-04 23:00:11.975772,Dogecoin,66,4,30,100
298,2023-01-04 23:00:12.018575,Cardano,57,7,36,100
299,2023-01-04 23:00:12.072435,Polygon,70,11,19,100
300,2023-01-05 02:30:08.909898,Bitcoin,74,7,19,100
301,2023-01-05 02:30:08.953903,Ethereum,54,7,39,100
302,2023-01-05 02:30:08.993141,Tether,2,2,96,100
303,2023-01-05 02:30:09.046683,USD Coin,31,21,43,95
304,2023-01-05 02:30:09.103518,BNB,48,33,18,99
305,2023-01-05 02:30:09.146390,XRP,44,17,39,100
306,2023-01-05 02:30:09.193224,Binance USD,9,46,45,100
307,2023-01-05 02:30:09.236115,Dogecoin,58,9,33,100
308,2023-01-05 02:30:09.275387,Cardano,38,12,50,100
309,2023-01-05 02:30:09.327916,Polygon,54,14,32,100
310,2023-01-05 05:30:09.442072,Bitcoin,41,14,45,100
311,2023-01-05 05:30:09.486788,Ethereum,54,4,42,100
312,2023-01-05 05:30:09.525024,Tether,2,3,95,100
313,2023-01-05 05:30:09.578980,USD Coin,30,26,39,95
314,2023-01-05 05:30:09.635964,BNB,74,4,22,100
315,2023-01-05 05:30:09.675828,XRP,30,14,56,100
316,2023-01-05 05:30:09.724503,Binance USD,10,43,47,100
317,2023-01-05 05:30:09.762601,Dogecoin,41,8,51,100
318,2023-01-05 05:30:09.807788,Cardano,47,12,41,100
319,2023-01-05 05:30:09.860274,Polygon,55,6,39,100
320,2023-01-05 08:00:08.995207,Bitcoin,51,20,29,100
321,2023-01-05 08:00:09.041340,Ethereum,60,4,35,99
322,2023-01-05 08:00:09.079780,Tether,3,7,90,100
323,2023-01-05 08:00:09.135128,USD Coin,29,26,45,100
324,2023-01-05 08:00:09.193372,BNB,69,6,25,100
325,2023-01-05 08:00:09.227398,XRP,32,11,53,96
326,2023-01-05 08:00:09.277694,Binance USD,10,46,44,100
327,2023-01-05 08:00:09.317717,Dogecoin,41,11,48,100
328,2023-01-05 08:00:09.360811,Cardano,38,21,41,100
329,2023-01-05 08:00:09.407692,Polygon,56,3,41,100
330,2023-01-05 09:00:11.691503,Bitcoin,38,24,38,100
331,2023-01-05 09:00:11.732268,Ethereum,51,8,41,100
332,2023-01-05 09:00:11.769701,Tether,1,9,90,100
333,2023-01-05 09:00:11.825374,USD Coin,26,29,45,100
334,2023-01-05 09:00:11.879545,BNB,59,22,18,99
335,2023-01-05 09:00:11.911056,XRP,28,7,65,100
336,2023-01-05 09:00:11.961566,Binance USD,9,51,40,100
337,2023-01-05 09:00:12.002240,Dogecoin,43,14,43,100
338,2023-01-05 09:00:12.044454,Cardano,61,11,28,100
339,2023-01-05 09:00:12.091961,Polygon,51,11,37,99
340,2023-01-05 11:00:09.420244,Bitcoin,54,30,16,100
341,2023-01-05 11:00:09.462874,Ethereum,57,3,40,100
342,2023-01-05 11:00:09.507369,Tether,43,35,22,100
343,2023-01-05 11:00:09.562979,USD Coin,29,24,47,100
344,2023-01-05 11:00:09.616331,BNB,28,58,14,100
345,2023-01-05 11:00:09.649768,XRP,33,8,59,100
346,2023-01-05 11:00:09.701172,Binance USD,11,50,39,100
347,2023-01-05 11:00:09.740894,Dogecoin,53,3,44,100
348,2023-01-05 11:00:09.782500,Cardano,67,6,27,100
349,2023-01-05 11:00:09.833248,Polygon,31,7,62,100
350,2023-01-05 11:30:07.127989,Bitcoin,59,14,27,100
351,2023-01-05 11:30:07.170452,Ethereum,50,4,45,99
352,2023-01-05 11:30:07.213447,Tether,39,32,29,100
353,2023-01-05 11:30:07.270672,USD Coin,29,22,49,100
